Country,FormalEducation,UndergradMajor,YearsCoding,YearsCodingProf,Employment,CompanySize,DevType,LanguageWorkedWith,ConvertedSalary
South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL;HTML;CSS,28680.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,0.5,Mobile developer,Java,9768.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,1.0,Employed full-time,5.0,DevOps specialist;Full-stack developer,C;JavaScript;Python;SQL;Swift;HTML;CSS;Bash/Shell,21418.0
United Kingdom,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",16.0,10.0,Employed full-time,299.5,Full-stack developer,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,916764.0
Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,10.0,Employed full-time,299.5,Data scientist or machine learning specialist,Java;JavaScript;Scala;SQL;HTML;CSS,30597.0
New Zealand,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",4.0,4.0,Employed full-time,749.5,Full-stack developer,C#;JavaScript;TypeScript;HTML;CSS,59980.0
Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",4.0,1.0,Employed full-time,0.5,Back-end developer;Full-stack developer,Assembly;C#;JavaScript,228888.0
Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",4.0,4.0,Employed full-time,59.5,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Full-stack developer;Product manager,PHP;Python;R;SQL;HTML;CSS,42348.0
Portugal,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer,C++;Java;JavaScript;Python;SQL,48955.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",16.0,13.0,Employed full-time,10.0,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,Java;JavaScript;HTML;CSS,37572.0
United Kingdom,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,5.0,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,JavaScript;Python;Rust;HTML;CSS,34726.0
Sweden,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,14.5,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Mobile developer,C#;JavaScript;SQL;HTML;CSS,55392.0
India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,0.5,Mobile developer;Student,C;JavaScript;Objective-C;Swift,27708.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",10.0,4.0,Employed full-time,0.5,Data scientist or machine learning specialist;Database administrator,JavaScript;Python;SQL;VBA,70000.0
Denmark,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",16.0,7.0,Employed full-time,0.5,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,C#;Java;JavaScript;Lua;PHP;Python;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,59172.0
Australia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",7.0,1.0,Employed full-time,10.0,Back-end developer;Full-stack developer,C++;Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,59980.0
Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",16.0,7.0,Employed full-time,59.5,Embedded applications or devices developer,Assembly;C;C++;Haskell;JavaScript;Python;Rust;SQL;HTML;CSS;Bash/Shell,91969.0
"Iran, Islamic Republic of...","Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",4.0,4.0,Employed full-time,14.5,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Product manager;Student;System administrator,C#;SQL;TypeScript;HTML,9984.0
France,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,1.0,Employed full-time,59.5,Back-end developer;Designer;DevOps specialist;Front-end developer;Full-stack developer;Product manager;QA or test developer;Student,C#;F#;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,55075.0
Australia,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",30.0,19.0,Employed full-time,299.5,Back-end developer;Data or business analyst;Database administrator;Front-end developer;System administrator,C;Go;Java;JavaScript;Lua;PHP;Python;Rust;Ocaml;HTML;CSS;Bash/Shell,87971.0
India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer,JavaScript;PHP;SQL;TypeScript;HTML;CSS,7512.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,749.5,Back-end developer;Full-stack developer,C#;JavaScript;Python;HTML;CSS,105000.0
United States,Associate degree,"Computer science, computer engineering, or software engineering",7.0,4.0,Employed full-time,5.0,Mobile developer,C;Java;JavaScript;Objective-C;PHP;Python;Ruby;Swift;HTML;CSS;Bash/Shell,105000.0
Egypt,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",13.0,13.0,Employed full-time,299.5,Back-end developer;Front-end developer;Full-stack developer,C#;JavaScript;SQL,36000.0
United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",16.0,16.0,Employed full-time,0.5,Full-stack developer,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS,120000.0
Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,7.0,4.0,Employed part-time,14.5,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,C;C++;C#;Go;Java;Python;Bash/Shell,61680.0
France,"Professional degree (JD, MD, etc.)","Computer science, computer engineering, or software engineering",10.0,7.0,Employed full-time,5.0,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Mobile developer;Product manager;QA or test developer",Java;JavaScript;SQL;Swift;HTML;CSS;Bash/Shell,42836.0
Indonesia,Some college/university study without earning a degree,"A humanities discipline (ex. literature, history, philosophy)",10.0,10.0,Employed full-time,59.5,Front-end developer;Product manager,JavaScript;PHP;HTML;CSS,29532.0
France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",13.0,10.0,Employed full-time,299.5,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,C;C++;C#;JavaScript;SQL;VBA;HTML;CSS;Bash/Shell,64866.0
United States,Associate degree,"Information systems, information technology, or system administration",1.0,1.0,Employed full-time,59.5,Back-end developer,Go;Haskell;SQL;Bash/Shell,77000.0
